,x,y,z,trajectory,step
85,0.036527375176416646,0.1262438565036293,1.193914842717093,1,350
86,0.03652716817506882,0.12624302671506063,1.1939190757827691,1,360
87,0.03652700652529387,0.1262423746336432,1.1939224029688142,1,370
88,0.0365268821149544,0.12624186244273183,1.1939250180142413,1,380
89,0.03652677719919549,0.12624145998624628,1.1939270682810263,1,390
90,0.036526697970052056,0.12624114392714694,1.193928680414798,1,400
91,0.036526635707237666,0.1262408962330234,1.1939299437325541,1,410
92,0.03652658467251682,0.1262407020443547,1.193930932752149,1,420
93,0.03652654695267821,0.12624055227825143,1.1939316965639841,1,430
94,0.036526518852575816,0.12624043330363977,1.1939323045185382,1,440
95,0.03652649685608077,0.12624034026171035,1.1939327799455228,1,450
96,0.036526479033820704,0.1262402661361003,1.1939331585252477,1,460
